Time (s);Oscillator 1
4.8046875000e+001;2.2993792966e+001
4.8144531250e+001;2.3007240694e+001
4.8242187500e+001;2.3026998607e+001
4.8339843750e+001;2.3066534559e+001
4.8437500000e+001;2.3110007106e+001
4.8535156250e+001;2.3144876441e+001
4.8632812500e+001;2.3153250018e+001
4.8730468750e+001;2.3152435911e+001
4.8828125000e+001;2.3157649012e+001
4.8925781250e+001;2.3147437637e+001
4.9023437500e+001;2.3138035417e+001
4.9121093750e+001;2.3149388485e+001
4.9218750000e+001;2.3169242119e+001
4.9316406250e+001;2.3192860062e+001
4.9414062500e+001;2.3219097942e+001
4.9511718750e+001;2.3241897175e+001
4.9609375000e+001;2.3239363513e+001
4.9707031250e+001;2.3199456348e+001
4.9804687500e+001;2.3158155191e+001
4.9902343750e+001;2.3137990103e+001
5.0000000000e+001;2.3130019998e+001
5.0097656250e+001;2.3139172777e+001
5.0195312500e+001;2.3163089601e+001
5.0292968750e+001;2.3184395098e+001
